"pattern","n_students","n_items_form","item","n1","n0","p_correct","dxy_form_rest","remapped_form","raw_weight_form","shared_rest_item_count","dxy_common_rest","raw_weight_common_rest","pattern_divisor","min1_form_weight"
"PATTERN04",421,22,"pm408q01t",139,282,0.330166270783848,0.43555793662942,0.43555793662942,3.30247035344084,11,0.379432624113475,3.10387638076404,1.50794247512905,2.19005062057039
"PATTERN04",421,22,"pm420q01t",252,169,0.598574821852732,0.424391847468771,0.424391847468771,2.34388508362139,11,0.424133558748943,2.34320972500255,1.50794247512905,1.55435974666129
"PATTERN04",421,22,"pm446q01",329,92,0.781472684085511,0.57611999471389,0.57611999471389,2.31127923309805,11,0.557717721686269,2.25861945824776,1.50794247512905,1.53273700503744
"PATTERN04",421,22,"pm446q02",19,402,0.0451306413301663,0.677009688400105,0.677009688400105,8.60542703451582,11,0.664833726106311,8.45666007892435,1.50794247512905,5.70673429288431
"PATTERN04",421,22,"pm447q01",301,120,0.714964370546318,0.476162790697675,0.476162790697675,2.1946107444967,11,0.416749723145072,2.05184356741364,1.50794247512905,1.45536768191962
"PATTERN04",421,22,"pm464q01t",62,359,0.147268408551069,0.823074849492317,0.823074849492317,7.89617815208896,11,0.734073142240992,6.72657656450888,1.50794247512905,5.23639215840324
"PATTERN04",421,22,"pm559q01",253,168,0.600950118764846,0.419325239977414,0.419325239977414,2.32460971359789,11,0.355990024468285,2.16913463562936,1.50794247512905,1.54157718343927
"PATTERN04",421,22,"pm800q01",341,80,0.809976247030879,0.218621700879766,0.218621700879766,1.50794247512905,11,0.20366568914956,1.48506646362767,1.50794247512905,1
"PATTERN04",421,22,"pm828q01",125,296,0.296912114014252,0.548243243243243,0.548243243243243,3.95745749535803,11,0.527810810810811,3.86025270637172,1.50794247512905,2.6244087958457
"PATTERN04",421,22,"pm828q02",256,165,0.608076009501188,0.290530303030303,0.290530303030303,2.00793730153369,11,0.251846590909091,1.92877614189703,1.50794247512905,1.33157420435541
"PATTERN04",421,22,"pm828q03",100,321,0.237529691211401,0.469813084112149,0.469813084112149,3.96661206968694,11,0.395732087227414,3.65014119355734,1.50794247512905,2.63047970006115
"PATTERN04",421,22,"pm909q01",394,27,0.935866983372922,0.620699379582628,0.620699379582628,2.09551756432603,9,0.550573416055649,1.91569315169897,1.50794247512905,1.38965351721835
"PATTERN04",421,22,"pm909q02",235,186,0.558194774346793,0.42347288949897,0.42347288949897,2.44922804070265,9,0.394806680393503,2.37280801469741,1.50794247512905,1.62421848386029
"PATTERN04",421,22,"pm909q03",124,297,0.294536817102138,0.695204735527316,0.695204735527316,4.83842721626248,9,0.699685022265667,4.87099724522143,1.50794247512905,3.2086285094187
"PATTERN04",421,22,"pm949q01t",248,173,0.589073634204275,0.621783516688421,0.621783516688421,3.00683479220761,9,0.558968860712288,2.77348671756957,1.50794247512905,1.99399833998991
"PATTERN04",421,22,"pm949q02t",119,302,0.282660332541568,0.534865601869887,0.534865601869887,3.97933649341781,9,0.447520730146363,3.59265613453337,1.50794247512905,2.63891796872241
"PATTERN04",421,22,"pm955q01",312,109,0.741092636579572,0.445042342978123,0.445042342978123,2.06115342762123,9,0.313396847800518,1.78574611581968,1.50794247512905,1.36686475884621
"PATTERN04",421,22,"pm955q02",69,352,0.163895486935867,0.600996376811594,0.600996376811594,5.35593716647501,9,0.572587285902503,5.16469455207756,1.50794247512905,3.55181796044085
"PATTERN04",421,22,"pm998q02",348,73,0.826603325415677,0.422964887419304,0.422964887419304,1.84215576551293,9,0.334671705243269,1.67338358713246,1.50794247512905,1.22163530499084
"PATTERN04",421,22,"pm998q04t",132,289,0.31353919239905,0.167741428122051,0.167741428122051,2.54924830853628,9,0.176365733459159,2.5716282843292,1.50794247512905,1.69054745163148
"PATTERN05",419,11,"pm905q01t",309,110,0.737470167064439,0.588467196234186,0.588467196234186,2.45674741051909,10,0.588467196234186,2.45674741051909,2.16694937987627,1.13373548700956
"PATTERN05",419,11,"pm905q02",158,261,0.37708830548926,0.725835394539017,0.725835394539017,4.50994322706834,10,0.725835394539017,4.50994322706834,2.16694937987627,2.08124069207646
"PATTERN05",419,11,"pm919q01",318,101,0.758949880668258,0.504358926458684,0.504358926458684,2.16694937987627,10,0.504358926458684,2.16694937987627,2.16694937987627,1
"PATTERN05",419,11,"pm919q02",153,266,0.365155131264916,0.396972824217406,0.396972824217406,3.01342084407119,10,0.396972824217406,3.01342084407119,2.16694937987627,1.39062816697788
"PATTERN05",419,11,"pm943q01",205,214,0.489260143198091,0.290563027125598,0.290563027125598,2.2985410118374,10,0.290563027125598,2.2985410118374,2.16694937987627,1.06072667556667
"PATTERN05",419,11,"pm943q02",16,403,0.0381861575178998,0.71386476426799,0.71386476426799,9.44635681525344,10,0.71386476426799,9.44635681525344,2.16694937987627,4.35928817856965
"PATTERN05",419,11,"pm953q02",186,233,0.443914081145585,0.61920254741797,0.61920254741797,3.54886358530819,10,0.61920254741797,3.54886358530819,2.16694937987627,1.63772334428543
"PATTERN05",419,11,"pm953q03",162,257,0.386634844868735,0.690925685737618,0.690925685737618,4.22170570751952,10,0.690925685737618,4.22170570751952,2.16694937987627,1.94822534699014
"PATTERN05",419,11,"pm954q01",280,139,0.668257756563246,0.645066803699897,0.645066803699897,2.84797087572562,10,0.645066803699897,2.84797087572562,2.16694937987627,1.31427660570836
"PATTERN05",419,11,"pm954q02",124,295,0.295942720763723,0.566867140513942,0.566867140513942,4.05581389033121,10,0.566867140513942,4.05581389033121,2.16694937987627,1.87166988209148
"PATTERN05",419,11,"pm954q04",89,330,0.212410501193317,0.714470548178413,0.714470548178413,5.70957401210817,10,0.714470548178413,5.70957401210817,2.16694937987627,2.63484420316002
