"person","calibration","audit","fold","number_correct","raw_proportion","full_weighted","crossfit_weighted","raw_midrank_percentile","weighted_midrank_percentile"
622,FALSE,TRUE,2,19,0.678571428571429,0.655196727357292,0.654437739408784,39.2026009582478,39.9555099247091
623,TRUE,FALSE,2,19,0.678571428571429,0.664234846830227,0.665933235989384,39.2026009582478,42.1115674195756
624,FALSE,TRUE,5,24,0.857142857142857,0.853144395950655,0.852018691456729,78.5420944558522,80.4414784394251
625,TRUE,FALSE,1,24,0.857142857142857,0.840874649340544,0.841634949718698,78.5420944558522,77.9774127310062
626,FALSE,TRUE,5,17,0.607142857142857,0.544698711821302,0.545633808393996,25.2908966461328,20.1745379876797
627,FALSE,TRUE,1,19,0.678571428571429,0.680151666412193,0.680576124592168,39.2026009582478,45.2258726899384
628,FALSE,TRUE,2,25,0.892857142857143,0.876249837427134,0.875710976464162,85.2669404517454,83.9322381930185
629,FALSE,TRUE,4,25,0.892857142857143,0.875201160381232,0.874323044336728,85.2669404517454,83.6242299794661
630,TRUE,FALSE,1,22,0.785714285714286,0.739906861783173,0.740599454161133,62.9876796714579,57.2039698836413
631,TRUE,FALSE,1,23,0.821428571428571,0.842142113173822,0.842578300100504,71.1327857631759,78.2854209445585
632,FALSE,TRUE,2,24,0.857142857142857,0.82229850952989,0.823000192751381,78.5420944558522,74.1444216290212
633,TRUE,FALSE,4,12,0.428571428571429,0.377989762904747,0.376255636183849,5.78370978781656,4.56878850102669
634,TRUE,FALSE,1,22,0.785714285714286,0.750636218009154,0.75063248445846,62.9876796714579,59.2915811088296
635,TRUE,FALSE,3,16,0.571428571428571,0.548388406188214,0.549734720244115,19.4216290212183,20.6194387405886
636,FALSE,TRUE,1,27,0.964285714285714,0.960675975792669,0.960370954279214,95.4312114989733,94.6954140999316
637,TRUE,FALSE,5,26,0.928571428571429,0.91391477534421,0.914447966848659,90.9479808350445,89.6817248459959
638,FALSE,TRUE,2,21,0.75,0.750141199323029,0.751353392817916,54.7741273100616,59.154688569473
639,TRUE,FALSE,4,24,0.857142857142857,0.838077508562213,0.837858136205782,78.5420944558522,77.6009582477755
640,TRUE,FALSE,2,15,0.535714285714286,0.50543002767237,0.50504628923616,14.5448323066393,14.9383983572895
641,TRUE,FALSE,1,19,0.678571428571429,0.65051090142261,0.649748006156834,39.2026009582478,39.0657084188912
642,TRUE,FALSE,1,19,0.678571428571429,0.647456108796191,0.648645536441526,39.2026009582478,38.4154688569473
643,TRUE,FALSE,1,10,0.357142857142857,0.323119483873887,0.323974153610409,2.56673511293634,2.20739219712526
644,TRUE,FALSE,5,24,0.857142857142857,0.840440981292247,0.840589166915101,78.5420944558522,77.8747433264887
645,TRUE,FALSE,1,19,0.678571428571429,0.662360243312614,0.660786357785547,39.2026009582478,41.7693360711841
646,TRUE,FALSE,2,16,0.571428571428571,0.55410782085736,0.554431688728478,19.4216290212183,21.4407939767283
647,TRUE,FALSE,2,13,0.464285714285714,0.426357515226842,0.425664568140403,8.02532511978097,7.54620123203285
648,TRUE,FALSE,3,20,0.714285714285714,0.69284114199753,0.69290669190289,47.1594798083504,48.1006160164271
649,TRUE,FALSE,2,27,0.964285714285714,0.960675975792669,0.960826539019219,95.4312114989733,94.6954140999316
650,TRUE,FALSE,5,24,0.857142857142857,0.869355402151845,0.870579908556202,78.5420944558522,82.8713210130048
651,TRUE,FALSE,3,15,0.535714285714286,0.508141507132802,0.50748668674754,14.5448323066393,15.1437371663244
652,TRUE,FALSE,1,23,0.821428571428571,0.827286244863881,0.826964173681283,71.1327857631759,75.0342231348392
653,TRUE,FALSE,2,22,0.785714285714286,0.778666616279585,0.778798835602335,62.9876796714579,65.5201916495551
654,FALSE,TRUE,4,21,0.75,0.72854320590467,0.728582396425969,54.7741273100616,55.3901437371663
655,TRUE,FALSE,5,13,0.464285714285714,0.439980353427667,0.439704123071157,8.02532511978097,8.53867214236824
656,TRUE,FALSE,4,21,0.75,0.755474895197599,0.756138997797144,54.7741273100616,60.2498288843258
657,TRUE,FALSE,5,14,0.5,0.452922357522029,0.45372112600341,10.9856262833676,9.42847364818617
658,FALSE,TRUE,4,13,0.464285714285714,0.448056103819419,0.447866303072367,8.02532511978097,8.88090349075975
659,TRUE,FALSE,1,12,0.428571428571429,0.379701610946138,0.380623713969766,5.78370978781656,4.7056810403833
660,TRUE,FALSE,4,26,0.928571428571429,0.911391196352411,0.910644003410223,90.9479808350445,89.1854893908282
661,FALSE,TRUE,3,26,0.928571428571429,0.92071486332171,0.920498397965948,90.9479808350445,90.5030800821355
662,TRUE,FALSE,3,21,0.75,0.738448444381334,0.739001062536612,54.7741273100616,56.9301848049281
663,FALSE,TRUE,2,15,0.535714285714286,0.509080570833862,0.508186015958366,14.5448323066393,15.3490759753593
664,TRUE,FALSE,5,26,0.928571428571429,0.929811972534871,0.928077797463306,90.9479808350445,92.1800136892539
665,TRUE,FALSE,2,28,1,1,1,98.6652977412731,98.6652977412731
666,TRUE,FALSE,4,19,0.678571428571429,0.63910673477747,0.639741861928091,39.2026009582478,36.4305270362765
667,TRUE,FALSE,5,25,0.892857142857143,0.860609960296928,0.860791545210003,85.2669404517454,81.7419575633128
668,TRUE,FALSE,4,23,0.821428571428571,0.813505205858584,0.811930700808597,71.1327857631759,72.6043805612594
669,TRUE,FALSE,4,26,0.928571428571429,0.928933436033751,0.929253790092083,90.9479808350445,91.7693360711841
670,TRUE,FALSE,5,11,0.392857142857143,0.356299903641389,0.357556737070136,4.15811088295688,3.57631759069131
671,TRUE,FALSE,4,16,0.571428571428571,0.527294151287567,0.525581808662925,19.4216290212183,17.6762491444216
672,TRUE,FALSE,1,8,0.285714285714286,0.254513503096539,0.254289124278997,0.735797399041752,0.633127994524298
673,TRUE,FALSE,2,12,0.428571428571429,0.405238842508312,0.405930142838496,5.78370978781656,6.21149897330595
674,FALSE,TRUE,1,15,0.535714285714286,0.507184994760768,0.507875039842171,14.5448323066393,15.0068446269678
675,FALSE,TRUE,3,21,0.75,0.76401850326898,0.763479402918512,54.7741273100616,62.1663244353183
676,FALSE,TRUE,3,21,0.75,0.722898830594364,0.722148761108343,54.7741273100616,53.9185489390828
677,FALSE,TRUE,5,23,0.821428571428571,0.781770356226294,0.782174605337484,71.1327857631759,66.2388774811773
678,TRUE,FALSE,3,23,0.821428571428571,0.807202806032496,0.807849283831044,71.1327857631759,71.1670088980151
679,FALSE,TRUE,1,21,0.75,0.727987507258426,0.726851057876433,54.7741273100616,55.1505817932923
680,FALSE,TRUE,1,17,0.607142857142857,0.571703728507789,0.571696259441926,25.2908966461328,24.7946611909651
681,TRUE,FALSE,2,24,0.857142857142857,0.835761549850994,0.836043185067195,78.5420944558522,77.1902806297057
682,TRUE,FALSE,1,21,0.75,0.735561185908305,0.737138495406233,54.7741273100616,56.3483915126626
683,TRUE,FALSE,5,26,0.928571428571429,0.92881603822351,0.928210701086054,90.9479808350445,91.7008898015058
684,TRUE,FALSE,4,22,0.785714285714286,0.74819869925848,0.746586794029235,62.9876796714579,58.8124572210815
685,FALSE,TRUE,4,27,0.964285714285714,0.963376295980523,0.963332206705118,95.4312114989733,95.5167693360712
686,TRUE,FALSE,2,14,0.5,0.459570013100973,0.459116415146398,10.9856262833676,10.1129363449692
687,TRUE,FALSE,4,27,0.964285714285714,0.96380996402882,0.963679040926505,95.4312114989733,95.6707734428474
688,TRUE,FALSE,1,20,0.714285714285714,0.679509889364305,0.678465853339848,47.1594798083504,45.0205338809035
689,FALSE,TRUE,3,22,0.785714285714286,0.756925680351738,0.756319960792937,62.9876796714579,60.6262833675565
690,TRUE,FALSE,2,25,0.892857142857143,0.880425059560884,0.880110487666405,85.2669404517454,84.5311430527036
691,TRUE,FALSE,5,13,0.464285714285714,0.417722917952114,0.419747752843105,8.02532511978097,6.82751540041068
692,TRUE,FALSE,3,21,0.75,0.709633321926009,0.708345436148421,54.7741273100616,51.1464750171116
693,TRUE,FALSE,5,16,0.571428571428571,0.541668105379256,0.540921821275626,19.4216290212183,19.7296372347707
694,TRUE,FALSE,3,16,0.571428571428571,0.527826567803908,0.52865052506842,19.4216290212183,17.7789185489391
695,FALSE,TRUE,1,24,0.857142857142857,0.835396990727615,0.834353751265427,78.5420944558522,77.0191649555099
696,TRUE,FALSE,5,24,0.857142857142857,0.83825104923006,0.838891422641017,78.5420944558522,77.6351813826146
697,TRUE,FALSE,3,18,0.642857142857143,0.600526259813661,0.600740724562747,31.6392881587953,29.7912388774812
698,FALSE,TRUE,1,21,0.75,0.715662464906026,0.717203448291176,54.7741273100616,52.6522929500342
699,TRUE,FALSE,3,12,0.428571428571429,0.413805991836165,0.415570268141299,5.78370978781656,6.65639972621492
700,TRUE,FALSE,4,26,0.928571428571429,0.905399560361742,0.905204211319941,90.9479808350445,88.6550308008214
701,TRUE,FALSE,5,17,0.607142857142857,0.570268513892138,0.569697728191979,25.2908966461328,24.4866529774127
702,TRUE,FALSE,3,25,0.892857142857143,0.873123684242835,0.872619328847972,85.2669404517454,83.3846680355921
703,TRUE,FALSE,4,21,0.75,0.723985993341241,0.723991885931237,54.7741273100616,54.2607802874743
704,TRUE,FALSE,2,26,0.928571428571429,0.932244280152174,0.932106703876444,90.9479808350445,92.5735797399042
705,FALSE,TRUE,1,19,0.678571428571429,0.652979171919364,0.653515547251364,39.2026009582478,39.5106091718001
706,TRUE,FALSE,5,22,0.785714285714286,0.745854571232187,0.748002655502046,62.9876796714579,58.4017796030116
707,FALSE,TRUE,5,17,0.607142857142857,0.572615273398294,0.575295603758034,25.2908966461328,24.9657768651608
708,TRUE,FALSE,4,19,0.678571428571429,0.675735285274584,0.676179710532191,39.2026009582478,44.1649555099247
709,FALSE,TRUE,1,18,0.642857142857143,0.616239293769027,0.617604071459885,31.6392881587953,32.2210814510609
710,TRUE,FALSE,4,20,0.714285714285714,0.680213213237148,0.67893724919914,47.1594798083504,45.2600958247776
711,TRUE,FALSE,4,23,0.821428571428571,0.790297988583416,0.789500691732194,71.1327857631759,67.8131416837782
