"calibration_n","metric","mean","sd","p025","median","p975"
500,"max_abs_change",0.014219291536438,0.00253059275407174,0.0102750445850415,0.0140083999845387,0.0197886119794073
500,"mean_rank_shift_pp",0.52560233718921,0.0847126286711923,0.373363896043447,0.523709286738635,0.667189769206466
500,"p95_rank_shift_pp",1.49532497149373,0.239010870421394,1.14025085518814,1.48232611174459,1.95039908779931
500,"max_rank_shift_pp",2.96693272519954,0.573222185230322,2.10661345496009,2.96465222348916,4.22462941847207
500,"top_decile_overlap",0.988977272727273,0.00814894298210017,0.977272727272727,0.988636363636364,1
500,"max_share",0.0546096275789876,0.00204535253480647,0.0507299829377328,0.0547464974743549,0.0586286441415103
500,"effective_items",27.0370923441704,0.11069485663106,26.8564013791515,27.0427450726893,27.2272295931413
500,"operational_max",2.07665612391708,0.132459861714221,1.84261915499287,2.05594977403013,2.37701209887348
500,"constants",0,0,0,0,0
500,"small_groups",0,0,0,0,0
500,"negative_items",0,0,0,0,0
500,"share_L1",0.0409238753986256,0.00692505040970639,0.0286863933482722,0.0402439473706849,0.0547374070826706
500,"share_max_abs",0.00428127975342901,0.000987134342948324,0.00276619210246483,0.0042253846829205,0.00588978498585676
1000,"pearson",0.999912409242311,2.43715009394026e-05,0.999862936440277,0.999917170794992,0.999951312571645
1000,"spearman",0.99988427880243,2.95465619477682e-05,0.999823302290133,0.999889423275355,0.999931131719998
1000,"rmse",0.00246837123315798,0.000424130130751404,0.00184799593929026,0.00240796601747651,0.0033571250019015
1000,"mean_change",0.000260796814697218,0.000921184278233223,-0.00164158279207203,0.000288982070974359,0.0019424920301484
1000,"max_abs_change",0.00818673093348729,0.00141297686480861,0.00618933252706357,0.00798297858913727,0.011080073001582
1000,"mean_rank_shift_pp",0.312982607598985,0.0425191815161921,0.238334531658539,0.306450543406893,0.395889376164467
1000,"p95_rank_shift_pp",0.916305587229191,0.126470529765806,0.684150513112888,0.91220068415051,1.14025085518814
1000,"max_rank_shift_pp",1.83238312428734,0.251730575444638,1.36830102622577,1.82440136830103,2.39452679589509
1000,"top_decile_overlap",0.993068181818182,0.00623354332295272,0.982670454545455,0.988636363636364,1
1000,"max_share",0.0542616933282202,0.00129838971805972,0.0520347998743823,0.054120833619523,0.0568374302479864
1000,"effective_items",27.0855326140477,0.0648768580427214,26.9588788043994,27.0953529432038,27.2067199536684
1000,"operational_max",2.01000100062273,0.0783585834256657,1.86668233826218,2.00223864102,2.17285333693768
1000,"constants",0,0,0,0,0
1000,"small_groups",0,0,0,0,0
1000,"negative_items",0,0,0,0,0
1000,"share_L1",0.023805426338625,0.00332670140808926,0.0173795604610126,0.0239523974900178,0.0302594298286369
1000,"share_max_abs",0.00256997482976303,0.000606295464166082,0.00175702781889053,0.00243586964068296,0.00383837942843896
2000,"pearson",0.999997968919554,7.46047078151728e-07,0.999996317094183,0.999998057424591,0.999999074956318
2000,"spearman",0.999993791122693,1.52506076928011e-06,0.999990400702083,0.999993835598892,0.999996380082206
2000,"rmse",0.000375281156397719,7.954624911033e-05,0.000255171844448991,0.000371242493281783,0.000546168716970603
2000,"mean_change",1.87944224325309e-05,0.000148883806245242,-0.000222276077963717,1.77493159547438e-05,0.000316089487245305
2000,"max_abs_change",0.00122897769940971,0.000250529499524022,0.000825926118251616,0.00120954814435204,0.00174418982316659
2000,"mean_rank_shift_pp",0.0557071700585988,0.00951026913764075,0.0388686423213792,0.0557773793472877,0.0759430472651532
2000,"p95_rank_shift_pp",0.221664766248576,0.026547542809424,0.114025085518821,0.22805017103763,0.22805017103763
